ChangedParameter,ChangedValue,Lambda,Rho,AlphaR,DuLimit,Eta,Mu,AlphaD,IAE,ITAE,Overshoot20,Overshoot35,SettlingTime,SteadyMean,SteadyError,SteadyFluctuation,Status
baseline,NaN,2,0.32,0.1,0.03,0.06,0.08,0.08,0.679046470688708,4.04070711519457,6.62048283354419,0.499564879916142,2.0165614901203,0.900068745983546,6.87459835455595e-05,0.0041552515881752,success
lambda,1.4,1.4,0.32,0.1,0.03,0.06,0.08,0.08,0.816567752517661,5.09044126584856,17.4796434240754,4.99069572485104,3.21099714354376,0.900060674370635,6.0674370635061e-05,0.00404771805230864,success
lambda,1.7,1.7,0.32,0.1,0.03,0.06,0.08,0.08,0.721407537655826,4.26031010324735,12.1624923734983,2.05851831213524,2.67782187192427,0.900081944570036,8.19445700361854e-05,0.00540344504359869,success
lambda,2.3,2.3,0.32,0.1,0.03,0.06,0.08,0.08,0.663633123777716,4.24306641333368,1.88353903700138,0.234711887862541,2.41479031698923,0.90007059519552,7.05951955203288e-05,0.00425520920728095,success
lambda,2.6,2.6,0.32,0.1,0.03,0.06,0.08,0.08,0.696802728456766,4.68384280349495,0.876272294794633,0.23198297637212,2.75013345224246,0.900076641208358,7.66412083574863e-05,0.00443735651204336,success
rho,0.24,2,0.24,0.1,0.03,0.06,0.08,0.08,0.714103839795069,4.83792001820138,0.863734586364047,0.261975746163095,2.88176729247775,0.900077519498452,7.75194984524719e-05,0.00432951930785241,success
rho,0.28,2,0.28,0.1,0.03,0.06,0.08,0.08,0.664353621797547,4.23620506148699,2.01433772287543,0.267335251576677,2.40646445556712,0.900076095467388,7.6095467388404e-05,0.00452310502451336,success
rho,0.36,2,0.36,0.1,0.03,0.06,0.08,0.08,0.705958980107582,4.1200031376084,10.6909396290624,1.27829226383981,1.82847056600219,0.900077217553988,7.72175539882625e-05,0.00450133233369088,success
rho,0.4,2,0.4,0.1,0.03,0.06,0.08,0.08,0.7475186502947,4.48411442786943,13.9765616090912,3.02653462143328,2.87324458358744,0.900079169553325,7.91695533247649e-05,0.00473167451113599,success
alpha_r,0.06,2,0.32,0.06,0.03,0.06,0.08,0.08,0.692072516222661,4.17984895894686,6.00848053654701,0.471514480070557,2.10217938505526,0.900081585061323,8.15850613227198e-05,0.00406299080129413,success
alpha_r,0.08,2,0.32,0.08,0.03,0.06,0.08,0.08,0.685062114240087,4.10949065198818,6.38661981344226,0.484760482634584,2.05163547552616,0.900097481521545,9.74815215448732e-05,0.00465491113685945,success
alpha_r,0.12,2,0.32,0.12,0.03,0.06,0.08,0.08,0.675368274366505,4.00909652601123,6.68667859587018,0.501636453619842,2.01855555941856,0.900078272095435,7.82720954348726e-05,0.00433193391699571,success
alpha_r,0.15,2,0.32,0.15,0.03,0.06,0.08,0.08,0.670894335386365,3.96284940876666,6.71580407439392,0.56769003611908,1.98315033697946,0.900080763490165,8.07634901646148e-05,0.00394647722530905,success
du_limit,0.02,2,0.32,0.1,0.02,0.06,0.08,0.08,0.679046470688708,4.04070711519457,6.62048283354419,0.499564879916142,2.0165614901203,0.900068745983546,6.87459835455595e-05,0.0041552515881752,success
du_limit,0.025,2,0.32,0.1,0.025,0.06,0.08,0.08,0.679046470688708,4.04070711519457,6.62048283354419,0.499564879916142,2.0165614901203,0.900068745983546,6.87459835455595e-05,0.0041552515881752,success
du_limit,0.035,2,0.32,0.1,0.035,0.06,0.08,0.08,0.679046470688708,4.04070711519457,6.62048283354419,0.499564879916142,2.0165614901203,0.900068745983546,6.87459835455595e-05,0.0041552515881752,success
